LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
702,68001,1,1,11.550895396221858,2,18,0,2,1600000,4,0.0
8082,5001,2,1,12.206077645517674,2,43,1,2,1900000,1,14.062371417145494
8013,5045,1,1,11.777249346594754,2,35,1,2,2300000,1,14.866332532446323
8082,5001,2,1,11.407576060361786,2,30,1,1,1800000,4,13.200444161764324
8013,5001,2,2,13.283571948757738,2,35,1,2,1800000,4,0.0
8013,5659,1,2,14.476801679607986,2,21,0,2,2000000,4,12.765691290604371
8013,5400,2,1,10.819798284210286,2,35,1,2,1800000,1,13.592368256649284
702,68001,1,1,10.667465913856665,2,41,0,2,1000000,4,0.0
8013,5001,4,2,12.34404603287219,2,35,0,2,1300000,4,0.0
25,17380,1,1,11.23195415820989,2,62,1,1,1600000,4,0.0
8082,5001,2,1,11.787491902274635,2,19,0,1,1600000,1,14.403297778421795
8013,5088,2,2,12.02809962015364,2,25,0,2,1900000,1,14.866332532446323
8013,5001,3,1,11.918397239722838,2,42,2,1,2500000,4,0.0
8082,5001,2,1,10.475906740307126,2,41,1,1,1900000,1,14.062371417145494
699,5315,1,1,10.357679330734525,2,19,0,1,2000000,4,0.0
8082,5360,3,1,13.06096020259415,2,24,0,2,1800000,1,15.319588176962746
8013,5837,1,2,11.943551368736893,2,27,0,1,3200000,4,0.0
8082,5001,3,2,12.206077645517674,2,70,0,2,4000000,1,14.062371417145494
8013,66001,2,1,11.32411087397961,2,32,1,1,2200000,1,14.866332532446323
8013,5088,1,1,10.659844246493957,2,33,1,2,2000000,4,0.0
8013,5045,1,1,11.87750607660493,2,28,0,2,1900000,4,0.0
8013,5030,2,2,12.504616761811384,2,46,0,2,1500000,4,0.0
8013,5585,1,1,12.521153421899763,2,39,0,2,2100000,4,12.765691290604371
8013,5001,1,2,11.705865446224792,2,24,1,2,1300000,1,14.866332532446323
8013,5001,1,2,10.375114862897961,2,54,0,1,4000000,1,14.866332532446323
8013,5001,2,1,11.3547148882366,2,29,1,2,1900000,1,14.866332532446323
8013,5088,1,2,11.594321103174222,2,18,0,1,1300000,4,0.0
8013,5001,2,1,12.047967490395186,2,45,0,1,1900000,4,0.0
699,20770,1,1,11.13206028223028,2,45,1,2,2200000,4,0.0
8082,5001,2,1,12.235636302128867,2,18,0,2,2100000,1,14.062371417145494
702,68547,3,1,11.674653081462434,2,23,0,2,1600000,1,14.062371417145494
8013,5001,2,2,11.7152212029716,2,23,0,1,1687000,4,0.0
8013,5001,2,2,11.849404844423074,2,51,0,2,1400000,4,0.0
8013,5631,3,1,12.206077645517674,2,32,0,2,2000000,1,14.866332532446323
8013,5001,2,1,11.641512152666213,2,34,1,2,2000000,1,14.866332532446323
8013,5266,2,1,11.51293546492023,2,45,0,2,2000000,4,0.0
25,5129,1,2,10.197313214435868,2,37,0,2,3000000,1,14.866332532446323
8013,5837,2,1,8.517393171418904,2,27,1,1,2500000,4,13.592368256649284
8013,5001,3,1,13.351247221666982,2,22,0,1,1800000,4,0.0
8013,5665,1,2,12.434323134212528,2,30,0,1,2600000,1,14.866332532446323
699,68081,1,1,11.85902266127104,2,33,0,1,2500000,1,14.062371417145494
699,68547,1,1,12.353509408803884,2,41,0,1,2500000,1,14.062371417145494
8082,5001,1,1,11.350418300109132,2,27,2,1,1800000,1,14.978661680269907
8082,5001,1,1,11.652696102959753,2,29,2,1,1850000,1,14.077875591662238
8013,5030,2,1,11.424651473035901,2,43,2,1,1600000,4,0.0
702,68307,2,1,10.705175187385525,2,28,1,2,2000000,1,14.151983508870947
699,54385,1,1,11.053568953468252,2,26,0,2,2000000,4,0.0
8082,5001,2,2,10.859018228147887,2,39,0,1,2000000,1,15.176487367510099
702,68276,2,1,12.093245434463944,2,29,0,1,1800000,1,14.062371417145494
699,68276,1,1,11.44016120501539,2,40,0,2,1400000,4,0.0
8013,5088,1,1,9.210440366976517,2,28,1,2,2200000,1,14.866332532446323
