LineaDeCredito,CiudadDeResidencia,Estrato,UstedEsArrendadorOPropietario,ValorFactura,UstedTieneAlgunaDiscapacidad,Edad,PersonasACargo,Genero,IngresoPrincipalMensual,Viabilidad,ValorCupoAprobado
8013,5266,3,2,160000,2,41,0,2,1600000,4,0
8013,5001,1,2,131051,2,60,0,2,2100000,4,0
8013,5001,3,2,782722,2,21,2,1,2200000,3,0
8013,5172,1,2,289872,2,37,0,2,1600000,4,0
8013,5665,1,2,88224,2,20,0,2,1000000,3,0
8013,5837,2,1,10000,2,49,0,2,1890000,4,0
8013,5266,4,1,10000,2,29,1,1,1800000,4,0
8013,5172,1,2,5000,2,26,0,1,1800000,4,0
8082,5001,2,2,200000,2,23,2,2,2400000,4,1300000
8013,5001,2,2,60000,2,35,0,2,2300000,4,0
8013,5001,2,2,46998,2,23,1,2,1599900,4,0
8013,5045,1,2,100000,2,32,0,2,1800000,1,2860000
8013,5250,1,2,100000,2,19,1,2,1200000,1,2860000
8013,5001,3,1,419266,2,28,1,1,1450000,4,1300000
702,68745,1,2,26799,2,39,0,2,3000000,4,0
8013,5001,1,2,131051,2,35,0,1,2100000,4,1300000
8013,5001,1,2,87458,2,41,2,2,1300000,4,0
8082,5001,1,2,154000,2,23,1,2,2100000,4,0
8013,5001,2,1,614517,2,20,0,2,1300000,1,1300000
8013,5001,3,2,469172,2,38,1,2,1800000,3,0
8013,5088,2,2,130000,2,70,0,1,1600000,1,2860000
8013,5001,3,1,874000,2,45,1,1,2200000,4,1300000
702,68001,2,1,144000,2,71,0,2,4000000,1,0
8013,5212,2,2,150000,2,39,0,2,1500000,4,0
8082,5001,3,2,300000,2,28,2,2,1509000,4,1300000
25,66170,3,1,51779,2,21,0,2,1800000,4,0
699,68679,3,1,81162,2,42,1,1,3000000,1,1400000
699,68276,1,1,52551,2,39,1,1,2000000,1,1280000
8013,5001,1,1,120614,2,29,0,1,1450000,4,0
8013,5001,3,1,668746,2,21,1,1,2500000,1,1300000
699,68001,1,1,165843,2,22,0,2,1300000,1,2500000
8013,5001,2,2,81093,2,39,0,2,1600000,4,1300000
8082,5001,1,2,190000,2,57,0,1,3000000,4,0
8013,5088,1,2,724644,2,38,0,1,3000000,4,0
8013,5790,2,2,130000,1,30,2,2,1700000,1,1300000
8013,5001,3,1,874087,2,32,1,2,2000000,4,1300000
8013,5001,2,2,109123,2,21,0,1,1400000,1,2860000
699,68307,2,1,61644,2,23,0,1,2000000,1,2500000
8013,5380,1,2,54621,2,36,1,1,1200000,1,2860000
8013,5837,1,2,10000,2,22,0,2,3000000,4,1300000
8013,5266,3,1,321813,2,58,1,1,1550000,4,1300000
25,66170,3,1,45365,2,39,0,2,1850000,4,0
25,17662,1,1,118879,2,34,0,1,3000000,4,0
699,68001,3,1,345594,2,25,0,2,2000000,4,0
101,5059,3,1,2000000,2,66,0,2,7000000,4,0
8013,5154,1,2,1028424,2,42,2,1,1600000,1,1300000
699,68001,2,1,15,2,36,0,1,4000000,4,0
8013,5837,3,2,136700,2,27,1,1,1700000,4,0
8082,5001,2,2,120000,2,48,0,2,1450000,1,10000000
8013,5088,2,1,178204,2,54,1,2,2000000,4,0
699,68081,1,1,93827,2,43,1,2,2500000,1,2500000
8082,5001,2,2,100000,2,24,0,2,2500000,4,0
8082,5001,4,1,350000,2,39,0,2,3000000,1,10000000
702,68307,3,1,20000,2,36,0,1,2500000,4,0
699,68276,2,1,105350,2,19,0,2,2000000,4,0
8013,5001,1,2,42343,2,18,0,1,1600000,4,1300000
25,5129,3,1,236684,2,30,2,1,2100000,4,0
8082,5001,4,1,350000,2,43,0,1,2500000,4,0
8082,5001,1,2,60000,2,53,0,2,3400000,4,0
8013,5837,1,2,4000,2,50,0,2,2000000,1,1300000
8082,5001,2,1,300000,2,41,0,2,3000000,4,0
699,68307,1,1,102170,2,31,0,1,2000000,4,0
8082,5001,2,2,200000,2,26,1,1,2000000,4,1300000
8013,5495,1,2,62000,2,21,0,2,1300000,1,1300000
702,5615,2,1,164964,2,48,0,2,1600000,1,1280000
8013,5001,2,1,1614147,2,24,0,2,1600000,4,0
702,68001,1,1,69690,2,26,0,2,1900000,1,1280000
702,68001,2,1,53100,2,32,1,1,3000000,4,0
8013,5250,1,1,100000,2,35,2,2,1500000,1,1300000
699,68307,2,1,46075,2,27,0,1,2500000,4,0
8013,5001,3,2,320000,2,47,1,2,2500000,1,1300000
8013,5001,2,2,806434,2,24,0,2,1650000,4,0
8013,5837,2,2,174704,2,41,0,1,2300000,4,0
